Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
La,57,86,143,29,8306.127,0.051,-78171.515,7.33,142916079.422,7.869,3435.156,7.595
Ce,58,85,143,27,8324.678,0.018,-81606.671,2.508,142912391.63,2.692,1461.575,1.866
Pr,59,84,143,25,8329.428,0.013,-83068.246,1.897,142910822.564,2.037,933.988,1.368
Nd,60,83,143,23,8330.488,0.01,-84002.234,1.367,142909819.887,1.467,-1041.583,2.682
Pm,61,82,143,21,8317.733,0.021,-82960.651,2.996,142910938.073,3.216,-3443.499,3.56
Sm,62,81,143,19,8288.182,0.02,-79517.152,2.804,142914634.821,3.01,-5275.851,11.338
Eu,63,80,143,17,8245.817,0.077,-74241.3,10.986,142920298.681,11.793,-6010.0,200.0
Gd,64,79,143,15,8198.318,1.401,-68231.3,200.301,142926750.682,215.032,-7812.117,206.75
Tb,65,78,143,13,8138.217,0.358,-60419.183,51.232,142935137.335,55.0,-8250.242,52.866
Dy,66,77,143,11,8075.052,0.091,-52168.941,13.041,142943994.335,14.0,-10121.0,298.0
Ho,67,76,143,9,7999.0,2.0,-42048.0,298.0,142954860.0,320.0,-10788.0,499.0
Er,68,75,143,7,7918.0,3.0,-31260.0,400.0,142966441.0,429.0,,
I,53,91,144,38,8098.0,3.0,-45280.0,401.0,143951390.0,430.0,11592.0,401.0
Xe,54,90,144,36,8172.884,0.037,-56872.293,5.31,143938945.079,5.7,6399.06,20.82
Cs,55,89,144,34,8211.889,0.14,-63271.353,20.132,143932075.404,21.612,8495.768,20.416
Ba,56,88,144,32,8265.454,0.05,-71767.121,7.136,143922954.821,7.661,3082.53,14.774
La,57,87,144,30,8281.428,0.09,-74849.652,12.937,143919645.589,13.888,5582.219,13.254
Ce,58,86,144,28,8314.76,0.02,-80431.87,2.885,143913652.83,3.096,318.646,0.832
Pr,59,85,144,26,8311.54,0.019,-80750.517,2.762,143913310.75,2.965,2997.44,2.4
Nd,60,84,144,24,8326.922,0.009,-83747.957,1.367,143910092.865,1.467,-2331.863,2.646
Pm,61,83,144,22,8305.296,0.021,-81416.093,2.964,143912596.224,3.181,549.442,2.668
Sm,62,82,144,20,8303.679,0.011,-81965.535,1.554,143912006.373,1.668,-6346.402,10.814
Eu,63,81,144,18,8254.173,0.075,-75619.133,10.789,143918819.517,11.582,-3859.63,29.955
Gd,64,80,144,16,8221.937,0.194,-71759.504,27.945,143922963.0,30.0,-9391.323,39.52
Tb,65,79,144,14,8151.287,0.194,-62368.181,27.945,143933045.0,30.0,-5798.098,28.851
Dy,66,78,144,12,8105.589,0.05,-56570.083,7.173,143939269.514,7.7,-11960.569,11.104
Ho,67,77,144,10,8017.097,0.059,-44609.513,8.477,143952109.714,9.1,-8002.0,196.0
Er,68,76,144,8,7956.0,1.0,-36608.0,196.0,143960700.0,210.0,-14349.0,445.0
Tm,69,75,144,6,7851.0,3.0,-22259.0,400.0,143976104.0,429.0,,
I,53,92,145,39,8068.0,3.0,-40939.0,503.0,144956050.0,540.0,10554.0,503.0
Xe,54,91,145,37,8135.087,0.077,-51493.329,11.178,144944719.634,12.0,8561.086,14.393
Cs,55,90,145,35,8188.733,0.063,-60054.415,9.067,144935528.93,9.733,7461.761,12.412
Ba,56,89,145,33,8234.798,0.058,-67516.176,8.477,144927518.4,9.1,5319.141,14.912
La,57,88,145,31,8266.087,0.085,-72835.317,12.269,144921808.066,13.17,4231.705,35.3
Ce,58,87,145,29,8289.875,0.234,-77067.022,33.902,144917265.144,36.395,2558.918,33.635
Pr,59,86,145,27,8302.127,0.049,-79625.94,7.169,144914518.033,7.696,1806.012,7.037
Nd,60,85,145,25,8309.187,0.01,-81431.951,1.384,144912579.199,1.485,-164.478,2.536
Pm,61,84,145,23,8302.657,0.02,-81267.474,2.859,144912755.773,3.068,-616.156,2.539
Sm,62,83,145,21,8293.013,0.011,-80651.318,1.578,144913417.244,1.694,-2659.81,2.723
Eu,63,82,145,19,8269.274,0.021,-77991.507,3.106,144916272.668,3.334,-5065.187,19.953
Gd,64,81,145,17,8228.946,0.136,-72926.32,19.709,144921710.37,21.158,-6537.909,108.066
Tb,65,80,145,15,8178.461,0.753,-66388.411,109.174,144928729.105,117.203,-8145.812,109.369
Dy,66,79,145,13,8116.888,0.045,-58242.599,6.52,144937473.994,7.0,-9122.493,9.902
Ho,67,78,145,11,8048.578,0.051,-49120.105,7.452,144947267.394,8.0,-9880.0,200.0
Er,68,77,145,9,7975.0,1.0,-39240.0,200.0,144957874.0,215.0,-11657.0,280.0
Tm,69,76,145,7,7889.0,1.0,-27583.0,196.0,144970389.0,210.0,,
Xe,54,92,146,38,8110.415,0.166,-47954.943,24.219,145948518.248,26.0,7355.429,24.391
Cs,55,91,146,36,8155.436,0.02,-55310.372,2.893,145940621.87,3.106,9636.714,21.063
Ba,56,90,146,34,8216.082,0.143,-64947.086,20.863,145930276.431,22.397,4103.197,33.503
La,57,89,146,32,8238.828,0.23,-69050.283,33.616,145925871.468,36.088,6585.107,34.456
Ce,58,88,146,30,8278.573,0.112,-75635.389,16.306,145918802.065,17.504,1045.616,32.519
Pr,59,87,146,28,8280.376,0.238,-76681.006,34.816,145917679.549,37.376,4244.861,34.83
Nd,60,86,146,26,8304.092,0.009,-80925.867,1.386,145913122.503,1.488,-1471.558,4.119
Pm,61,85,146,24,8288.654,0.03,-79454.309,4.308,145914702.286,4.624,1542.0,3.0
Sm,62,84,146,22,8293.857,0.021,-80996.309,3.092,145913046.881,3.319,-3878.768,5.869
Eu,63,83,146,20,8261.932,0.041,-77117.541,6.026,145917210.909,6.468,-1031.758,7.076
Gd,64,82,146,18,8249.506,0.028,-76085.783,4.108,145918318.548,4.409,-8322.173,44.749
Tb,65,81,146,16,8187.146,0.307,-67763.61,44.862,145927252.768,48.161,-5208.691,45.16
Dy,66,80,146,14,8146.112,0.046,-62554.918,6.695,145932844.529,7.187,-11316.699,9.392
Ho,67,79,146,12,8063.242,0.045,-51238.219,6.587,145944993.506,7.071,-6916.206,9.399
Er,68,78,146,10,8010.512,0.046,-44322.012,6.705,145952418.359,7.197,-13267.0,200.0
Tm,69,77,146,8,7914.0,1.0,-31055.0,200.0,145966661.0,215.0,,
Xe,54,93,147,39,8072.0,1.0,-42360.0,200.0,146954525.0,215.0,9560.0,200.0
Cs,55,92,147,37,8131.8,0.057,-51920.064,8.383,146944261.515,9.0,8343.965,21.454
Ba,56,91,147,35,8183.24,0.134,-60264.029,19.748,146935303.9,21.2,6414.361,22.466
La,57,90,147,33,8221.553,0.073,-66678.39,10.712,146928417.8,11.5,5335.501,13.725
Ce,58,89,147,31,8252.527,0.058,-72013.891,8.58,146922689.903,9.211,3430.176,15.533
Pr,59,88,147,29,8270.539,0.108,-75444.067,15.857,146919007.458,17.023,2702.681,15.86
Nd,60,87,147,27,8283.603,0.009,-78146.748,1.388,146916106.01,1.49,895.512,0.482
Pm,61,86,147,25,8284.372,0.01,-79042.26,1.399,146915144.638,1.501,224.094,0.293
Sm,62,85,147,23,8280.575,0.009,-79266.354,1.372,146914904.064,1.473,-1721.598,2.281
Eu,63,84,147,21,8263.541,0.018,-77544.756,2.63,146916752.276,2.823,-2187.811,2.524
Gd,64,83,147,19,8243.336,0.013,-75356.945,1.965,146919100.987,2.109,-4614.28,8.147
Tb,65,82,147,17,8206.624,0.055,-70742.665,8.1,146924054.62,8.695,-6546.628,11.997
Dy,66,81,147,15,8156.767,0.06,-64196.038,8.849,146931082.715,9.5,-8438.945,10.164
Ho,67,80,147,13,8094.037,0.034,-55757.092,5.001,146940142.295,5.368,-9149.286,38.517
Er,68,79,147,11,8026.475,0.26,-46607.807,38.191,146949964.458,41.0,-10633.406,38.799
Tm,69,78,147,9,7948.817,0.047,-35974.4,6.839,146961379.89,7.341,,
Xe,54,94,148,40,8047.0,2.0,-38600.0,300.0,147958561.0,322.0,8311.0,300.0
Cs,55,93,148,38,8097.546,0.088,-46910.942,13.041,147949639.029,14.0,10682.793,64.413
Ba,56,92,148,36,8164.441,0.426,-57593.735,63.079,147938170.578,67.718,5115.0,60.0
La,57,91,148,34,8193.716,0.132,-62708.735,19.468,147932679.4,20.9,7689.672,22.457
Ce,58,90,148,32,8240.387,0.076,-70398.408,11.195,147924424.196,12.018,2137.016,12.567
Pr,59,89,148,30,8249.54,0.102,-72535.424,15.043,147922130.015,16.148,4872.572,15.09
Nd,60,88,148,28,8277.177,0.014,-77407.996,2.127,147916899.093,2.283,-542.28,5.874
Pm,61,87,148,26,8268.226,0.039,-76865.716,5.723,147917481.255,6.143,2470.548,5.642
Sm,62,86,148,24,8279.633,0.009,-79336.264,1.367,147914829.012,1.467,-3036.933,10.019
Eu,63,85,148,22,8253.827,0.068,-76299.331,10.013,147918089.294,10.748,-30.003,10.019
Gd,64,84,148,20,8248.338,0.011,-76269.329,1.554,147918121.503,1.668,-5732.246,12.529
Tb,65,83,148,18,8204.321,0.084,-70537.082,12.464,147924275.323,13.38,-2677.532,9.596
Dy,66,82,148,16,8180.943,0.059,-67859.55,8.724,147927149.772,9.366,-9868.393,84.287
Ho,67,81,148,14,8108.979,0.566,-57991.158,83.834,147937743.928,90.0,-6512.169,84.458
Er,68,80,148,12,8059.692,0.069,-51478.989,10.246,147944735.029,11.0,-12713.962,14.491
Tm,69,79,148,10,7968.5,0.069,-38765.027,10.246,147958384.029,11.0,-8435.0,400.0
Yb,70,78,148,8,7906.0,3.0,-30330.0,400.0,147967439.0,429.0,,
Cs,55,94,149,39,8073.0,3.0,-43250.0,400.0,148953569.0,429.0,9870.0,593.0
Ba,56,93,149,37,8133.793,2.938,-53120.309,437.802,148942973.0,470.0,7099.605,481.431
La,57,92,149,35,8176.191,1.344,-60219.913,200.262,148935351.26,214.99,6450.0,200.0
Ce,58,91,149,33,8214.229,0.069,-66669.913,10.246,148928426.9,11.0,4369.452,14.23
Pr,59,90,149,31,8238.303,0.066,-71039.366,9.874,148923736.1,10.6,3336.1,10.101
Nd,60,89,149,29,8255.442,0.014,-74375.466,2.128,148920154.648,2.284,1688.79,2.455
Pm,61,88,149,27,8261.526,0.015,-76064.256,2.267,148918341.658,2.434,1071.481,1.875
Sm,62,87,149,25,8263.466,0.009,-77135.737,1.311,148917191.375,1.407,-694.625,3.788
Eu,63,86,149,23,8253.554,0.027,-76441.112,3.951,148917937.086,4.241,-1314.101,4.136
Gd,64,85,149,21,8239.484,0.023,-75127.011,3.36,148919347.831,3.607,-3638.343,4.339
Tb,65,84,149,19,8209.815,0.025,-71488.669,3.667,148923253.753,3.936,-3792.76,9.162
Dy,66,83,149,17,8179.109,0.062,-67695.909,9.221,148927325.448,9.898,-6049.33,12.803
Ho,67,82,149,15,8133.259,0.08,-61646.578,11.99,148933819.672,12.871,-7904.963,30.408
Er,68,81,149,13,8074.955,0.188,-53741.615,27.945,148942306.0,30.0,-9859.0,198.0
Tm,69,80,149,11,8004.0,1.0,-43883.0,196.0,148952890.0,210.0,-10684.0,358.0
Yb,70,79,149,9,7927.0,2.0,-33198.0,300.0,148964360.0,322.0,,
Cs,55,95,150,40,8039.0,3.0,-38170.0,400.0,149959023.0,429.0,11730.0,500.0
Ba,56,94,150,38,8112.0,2.0,-49900.0,300.0,149946430.0,322.0,6230.0,529.0
La,57,93,150,36,8148.225,2.903,-56129.966,435.473,149939742.0,467.5,8716.888,435.631
Ce,58,92,150,34,8201.122,0.078,-64846.854,11.697,149930384.035,12.556,3453.625,14.291
Pr,59,91,150,32,8218.931,0.06,-68300.479,9.015,149926676.415,9.678,5379.276,9.085
Nd,60,90,150,30,8249.577,0.009,-73679.755,1.289,149920901.525,1.384,-82.616,20.001
Pm,61,89,150,28,8243.81,0.134,-73597.139,20.041,149920990.217,21.514,3454.0,20.0
Sm,62,88,150,26,8261.621,0.009,-77051.139,1.274,149917282.195,1.368,-2258.905,6.181
Eu,63,87,150,24,8241.346,0.042,-74792.234,6.253,149919707.229,6.712,971.7,3.543
Gd,64,86,150,22,8242.609,0.041,-75763.934,6.076,149918664.066,6.523,-4658.213,8.379
Tb,65,85,150,20,8206.338,0.049,-71105.721,7.384,149923664.864,7.927,-1796.122,8.389
Dy,66,84,150,18,8189.149,0.029,-69309.6,4.348,149925593.08,4.667,-7363.719,14.468
Ho,67,83,150,16,8134.842,0.094,-61945.881,14.168,149933498.358,15.21,-4114.568,13.591
Er,68,82,150,14,8102.195,0.115,-57831.313,17.195,149937915.528,18.459,-11340.0,196.0
Tm,69,81,150,12,8021.0,1.0,-46491.0,196.0,149950090.0,210.0,-7852.0,358.0
Yb,70,80,150,10,7964.0,2.0,-38638.0,300.0,149958520.0,322.0,-13998.0,424.0
Lu,71,79,150,8,7865.0,2.0,-24640.0,300.0,149973548.0,322.0,,
Cs,55,96,151,41,8013.0,3.0,-34230.0,500.0,150963253.0,537.0,10710.0,640.0
Ba,56,95,151,39,8079.0,3.0,-44940.0,400.0,150951755.0,429.0,8370.0,591.0
La,57,94,151,37,8129.043,2.884,-53310.333,435.473,150942769.0,467.5,7914.718,435.833
Ce,58,93,151,35,8176.277,0.117,-61225.052,17.698,150934272.2,19.0,5554.578,21.189
Pr,59,92,151,33,8207.881,0.077,-66779.63,11.651,150928309.114,12.507,4163.358,11.689
Nd,60,91,151,31,8230.272,0.009,-70942.988,1.293,150923839.565,1.387,2443.075,4.473
Pm,61,90,151,29,8241.27,0.031,-73386.063,4.653,150921216.817,4.994,1190.217,4.476
Sm,62,89,151,27,8243.971,0.008,-74576.279,1.273,150919939.066,1.367,76.574,0.538
Eu,63,88,151,25,8239.297,0.009,-74652.854,1.325,150919856.86,1.422,-464.116,2.779
Gd,64,87,151,23,8231.043,0.02,-74188.737,3.056,150920355.109,3.28,-2565.233,3.762
Tb,65,86,151,21,8208.873,0.027,-71623.504,4.137,150923109.001,4.441,-2871.099,4.944
Dy,66,85,151,19,8184.678,0.022,-68752.405,3.293,150926191.253,3.535,-5129.667,8.756
Ho,67,84,151,17,8145.526,0.055,-63622.738,8.302,150931698.177,8.912,-5356.454,18.444
Er,68,83,151,15,8104.872,0.109,-58266.284,16.47,150937448.567,17.681,-7493.528,25.46
Tm,69,82,151,13,8050.064,0.129,-50772.756,19.416,150945493.201,20.843,-9230.414,300.136
Yb,70,81,151,11,7983.755,1.99,-41542.342,300.492,150955402.458,322.591,-11434.0,425.0
Lu,71,80,151,9,7903.0,2.0,-30108.0,300.0,150967677.0,322.0,,
Cs,55,97,152,42,7979.0,3.0,-28930.0,500.0,151968942.0,537.0,12780.0,640.0
Ba,56,96,152,40,8057.0,3.0,-41710.0,400.0,151955222.0,429.0,7580.0,500.0
La,57,95,152,38,8102.0,2.0,-49290.0,300.0,151947085.0,322.0,9690.0,361.0
Ce,58,94,152,36,8161.0,1.0,-58980.0,200.0,151936682.0,215.0,4778.0,201.0
Pr,59,93,152,34,8187.104,0.122,-63758.063,18.537,151931552.9,19.9,6391.344,30.71
Nd,60,92,152,32,8224.005,0.161,-70149.407,24.485,151924691.509,26.285,1104.778,18.501
Pm,61,91,152,30,8226.127,0.17,-71254.186,25.912,151923505.481,27.817,3508.417,25.886
Sm,62,90,152,28,8244.061,0.008,-74762.603,1.212,151919739.04,1.301,-1874.348,0.687
Eu,63,89,152,26,8226.583,0.009,-72888.255,1.326,151921751.235,1.423,1818.661,0.702
Gd,64,88,152,24,8233.401,0.008,-74706.916,1.206,151919798.822,1.294,-3990.0,40.0
Tb,65,87,152,22,8202.004,0.263,-70716.916,40.018,151924082.263,42.961,-599.044,40.258
Dy,66,86,152,20,8192.916,0.03,-70117.873,4.624,151924725.363,4.963,-6513.102,13.325
Ho,67,85,152,18,8144.919,0.082,-63604.771,12.529,151931717.465,13.45,-3104.394,9.815
Er,68,84,152,16,8119.349,0.058,-60500.377,8.83,151935050.169,9.479,-8780.104,54.743
Tm,69,83,152,14,8056.438,0.355,-51720.273,54.027,151944476.0,58.0,-5449.892,139.62
Yb,70,82,152,12,8015.436,0.985,-46270.381,149.708,151950326.7,160.718,-12848.0,246.0
Lu,71,81,152,10,7926.0,1.0,-33422.0,196.0,151964120.0,210.0,,
Ba,56,97,153,41,8023.0,3.0,-36470.0,400.0,152960848.0,429.0,9590.0,500.0
La,57,96,153,39,8081.0,2.0,-46060.0,300.0,152950553.0,322.0,8850.0,361.0
Ce,58,95,153,37,8134.0,1.0,-54910.0,200.0,152941052.0,215.0,6659.0,201.0
Pr,59,94,153,35,8172.036,0.078,-61568.463,11.882,152933903.532,12.755,5761.834,12.19
Nd,60,93,153,33,8204.582,0.018,-67330.297,2.747,152927717.949,2.948,3317.527,9.355
Pm,61,92,153,31,8221.152,0.059,-70647.824,9.066,152924156.436,9.732,1911.862,9.093
Sm,62,91,153,29,8228.534,0.008,-72559.686,1.219,152922103.969,1.309,807.536,0.708
Eu,63,90,153,27,8228.699,0.009,-73367.222,1.33,152921237.043,1.428,-484.671,0.717
Gd,64,89,153,25,8220.418,0.008,-72882.551,1.203,152921757.359,1.291,-1569.213,3.845
Tb,65,88,153,23,8205.048,0.026,-71313.338,3.995,152923441.978,4.289,-2170.394,1.933
Dy,66,87,153,21,8185.749,0.026,-69142.943,4.048,152925771.992,4.346,-4130.84,6.157
Ho,67,86,153,19,8153.637,0.033,-65012.103,5.094,152930206.632,5.468,-4543.499,9.916
Er,68,85,153,17,8118.827,0.061,-60468.604,9.321,152935084.279,10.006,-6495.276,12.891
Tm,69,84,153,15,8071.261,0.078,-53973.329,11.983,152942057.244,12.864,-6765.0,196.0
Yb,70,83,153,13,8022.0,1.0,-47208.0,196.0,152949320.0,210.0,-8835.0,247.0
Lu,71,82,153,11,7959.07,0.981,-38372.844,150.034,152958805.054,161.068,-11073.0,335.0
Hf,72,81,153,9,7882.0,2.0,-27300.0,300.0,152970692.0,322.0,,
Ba,56,98,154,42,8000.0,3.0,-32820.0,500.0,153964766.0,537.0,8709.0,583.0
La,57,97,154,40,8051.0,2.0,-41530.0,300.0,153955416.0,322.0,10690.0,361.0
Ce,58,96,154,38,8116.0,1.0,-52220.0,200.0,153943940.0,215.0,5885.0,230.0
Pr,59,95,154,36,8148.892,0.734,-58104.976,113.009,153937621.738,121.32,7720.0,100.0
Nd,60,94,154,34,8193.942,0.342,-65824.976,52.642,153929333.977,56.513,2687.0,25.0
Pm,61,93,154,32,8206.31,0.301,-68511.976,46.326,153926449.364,49.733,3943.2,46.303
Sm,62,92,154,30,8226.835,0.009,-72455.176,1.462,153922216.164,1.569,-717.056,1.103
Eu,63,91,154,28,8217.098,0.009,-71738.121,1.346,153922985.955,1.444,1967.834,0.755
Gd,64,90,154,26,8224.796,0.008,-73705.954,1.197,153920873.398,1.285,-3549.651,45.298
Tb,65,89,154,24,8196.666,0.294,-70156.303,45.314,153924684.106,48.646,237.604,45.901
Dy,66,88,154,22,8193.129,0.048,-70393.907,7.445,153924429.028,7.992,-5754.596,10.178
Ho,67,87,154,20,8150.681,0.053,-64639.311,8.228,153930606.841,8.833,-2034.291,9.463
Er,68,86,154,18,8132.392,0.032,-62605.02,4.986,153932790.743,5.353,-8177.888,14.916
Tm,69,85,154,16,8074.208,0.094,-54427.131,14.412,153941570.067,15.472,-4495.048,13.953
Yb,70,84,154,14,8039.939,0.112,-49932.083,17.281,153946395.701,18.552,-10217.0,197.0
Lu,71,83,154,12,7969.0,1.0,-39715.0,196.0,153957364.0,211.0,-7045.0,358.0
Hf,72,82,154,10,7918.0,2.0,-32670.0,300.0,153964927.0,322.0,,
La,57,98,155,41,8028.0,3.0,-37930.0,400.0,154959280.0,429.0,9850.0,500.0
Ce,58,97,155,39,8087.0,2.0,-47780.0,300.0,154948706.0,322.0,7635.0,300.0
Pr,59,96,155,37,8131.039,0.111,-55415.268,17.198,154940509.259,18.462,6868.456,19.472
Nd,60,95,155,35,8170.304,0.059,-62283.724,9.153,154933135.668,9.826,4656.207,10.278
Pm,61,94,155,33,8195.296,0.03,-66939.931,4.718,154928137.024,5.065,3250.888,4.946
Sm,62,93,155,31,8211.223,0.01,-70190.819,1.487,154924647.051,1.595,1627.273,1.202
Eu,63,92,155,29,8216.674,0.009,-71818.092,1.401,154922900.102,1.504,251.788,0.87
Gd,64,91,155,27,8213.251,0.008,-72069.88,1.191,154922629.796,1.278,-819.83,9.789
Tb,65,90,155,25,8202.914,0.064,-71250.05,9.849,154923509.921,10.573,-2094.5,1.897
Dy,66,89,155,23,8184.354,0.062,-69155.55,9.665,154925758.459,10.375,-3116.011,16.59
Ho,67,88,155,21,8159.203,0.113,-66039.539,17.474,154929103.634,18.759,-3830.35,18.474
Er,68,87,155,19,8129.444,0.039,-62209.189,6.098,154933215.684,6.546,-5583.276,11.515
Tm,69,86,155,17,8088.375,0.064,-56625.913,9.925,154939209.578,10.654,-6123.305,19.341
Yb,70,85,155,15,8043.823,0.107,-50502.608,16.6,154945783.217,17.82,-7957.561,25.416
Lu,71,84,155,13,7987.436,0.124,-42545.047,19.246,154954326.011,20.661,-8375.0,299.0
Hf,72,83,155,11,7928.0,2.0,-34170.0,298.0,154963317.0,320.0,-10242.0,423.0
Ta,73,82,155,9,7857.0,2.0,-23928.0,300.0,154974312.0,322.0,,
La,57,99,156,42,7997.0,3.0,-33050.0,400.0,155964519.0,429.0,11769.0,500.0
Ce,58,98,156,40,8068.0,2.0,-44820.0,300.0,155951884.0,322.0,6748.0,361.0
Pr,59,97,156,38,8106.0,1.0,-51568.0,200.0,155944640.0,215.0,8906.0,283.0
Nd,60,96,156,36,8158.066,1.282,-60473.644,200.033,155935078.868,214.744,3690.0,200.0
Pm,61,95,156,34,8176.705,0.023,-64163.644,3.631,155931117.49,3.897,5196.786,9.285
Sm,62,94,156,32,8205.003,0.055,-69360.43,8.546,155925538.511,9.174,722.118,7.902
Eu,63,93,156,30,8204.617,0.023,-70082.548,3.59,155924763.285,3.853,2452.366,3.409
Gd,64,92,156,28,8215.322,0.008,-72534.914,1.19,155922130.562,1.277,-2444.117,3.679
Tb,65,91,156,26,8194.639,0.024,-70090.797,3.814,155924754.43,4.094,438.167,3.681
Dy,66,90,156,24,8192.433,0.008,-70528.964,1.194,155924284.038,1.281,-5050.0,60.0
Ho,67,89,156,22,8155.046,0.385,-65478.964,60.012,155929705.436,64.425,-1267.255,64.869
Er,68,88,156,20,8141.908,0.158,-64211.709,24.629,155931065.89,26.44,-7377.159,26.71
Tm,69,87,156,18,8089.603,0.092,-56834.55,14.279,155938985.597,15.328,-3568.83,12.548
Yb,70,86,156,16,8061.711,0.06,-53265.721,9.308,155942816.893,9.992,-9566.176,54.916
Lu,71,85,156,14,7995.374,0.347,-43699.544,54.122,155953086.606,58.102,-5882.648,139.709
Hf,72,84,156,12,7952.65,0.96,-37816.896,149.757,155959401.889,160.77,-11956.0,334.0
Ta,73,83,156,10,7871.0,2.0,-25861.0,298.0,155972237.0,320.0,,
Ce,58,99,157,41,8037.0,3.0,-39930.0,400.0,156957133.0,429.0,8610.0,500.0
Pr,59,98,157,39,8086.0,2.0,-48540.0,300.0,156947890.0,322.0,7921.0,301.0
Nd,60,97,157,37,8131.959,0.159,-56461.543,24.918,156939386.037,26.75,5835.5,25.877
Pm,61,96,157,35,8164.145,0.045,-62297.043,7.006,156933121.37,7.521,4380.534,8.265
Sm,62,95,157,33,8187.063,0.028,-66677.577,4.433,156928418.673,4.759,2781.331,6.136
Eu,63,94,157,31,8199.795,0.027,-69458.908,4.259,156925432.791,4.572,1364.565,4.203
Gd,64,93,157,29,8203.504,0.008,-70823.473,1.189,156923967.87,1.276,-60.043,0.297
Tb,65,92,157,27,8198.138,0.008,-70763.43,1.222,156924032.328,1.311,-1338.872,5.134
Dy,66,91,157,25,8184.627,0.033,-69424.558,5.177,156925469.667,5.557,-2591.725,23.787
Ho,67,90,157,23,8163.136,0.149,-66832.832,23.469,156928251.999,25.195,-3419.194,33.668
Er,68,89,157,21,8136.375,0.169,-63413.639,26.505,156931922.655,28.454,-4704.366,38.515
Tm,69,88,157,19,8101.428,0.178,-58709.273,27.945,156936973.0,30.0,-5287.374,30.003
Yb,70,87,157,17,8062.767,0.07,-53421.898,10.92,156942649.23,11.723,-6981.376,14.241
Lu,71,86,157,15,8013.317,0.077,-46440.523,12.078,156950144.045,12.965,-7537.0,196.0
Hf,72,85,157,13,7960.0,1.0,-38903.0,196.0,156958236.0,210.0,-9310.0,247.0
Ta,73,84,157,11,7896.043,0.956,-29593.33,150.069,156968230.251,161.105,-10123.0,427.0
W,74,83,157,9,7827.0,3.0,-19470.0,400.0,156979098.0,429.0,,
Ce,58,100,158,42,8016.0,3.0,-36660.0,400.0,157960644.0,429.0,7670.0,500.0
Pr,59,99,158,40,8060.0,2.0,-44330.0,300.0,157952410.0,322.0,9725.0,361.0
Nd,60,98,158,38,8116.0,1.0,-54055.0,200.0,157941970.0,215.0,5035.0,201.0
Pm,61,97,158,36,8143.254,0.085,-59089.209,13.453,157936565.121,14.442,6161.034,14.299
Sm,62,96,158,34,8177.297,0.031,-65250.243,4.892,157929950.979,5.251,2004.945,10.369
Eu,63,95,158,32,8185.035,0.065,-67255.188,10.255,157927798.581,11.008,3434.358,10.323
Gd,64,94,158,30,8201.819,0.008,-70689.546,1.189,157924111.646,1.276,-1218.878,0.987
Tb,65,93,158,28,8189.153,0.009,-69470.668,1.401,157925420.166,1.503,936.681,2.495
Dy,66,92,158,26,8190.13,0.015,-70407.349,2.365,157924414.597,2.538,-4219.755,27.005
Ho,67,91,158,24,8158.471,0.172,-66187.593,27.108,157928944.692,29.101,-883.785,37.025
Er,68,90,158,22,8147.926,0.16,-65303.808,25.219,157929893.474,27.074,-6600.615,31.341
Tm,69,89,158,20,8101.199,0.16,-58703.194,25.219,157936979.525,27.074,-2692.957,26.456
Yb,70,88,158,18,8079.203,0.051,-56010.237,7.994,157939870.534,8.582,-8798.047,16.872
Lu,71,87,158,16,8018.568,0.096,-47212.19,15.125,157949315.626,16.237,-5109.8,14.937
Hf,72,86,158,14,7981.276,0.111,-42102.39,17.494,157954801.222,18.78,-10936.0,197.0
Ta,73,85,158,12,7907.0,1.0,-31167.0,196.0,157966541.0,210.0,-7534.0,358.0
W,74,84,158,10,7854.0,2.0,-23633.0,300.0,157974629.0,322.0,,
Pr,59,100,159,41,8039.0,3.0,-41088.0,400.0,158955890.0,429.0,8719.0,500.0
Nd,60,99,159,39,8089.0,2.0,-49807.0,300.0,158946530.0,322.0,6747.0,300.0
Pm,61,98,159,37,8126.859,0.063,-56554.28,10.039,158939286.479,10.777,5653.495,11.644
Sm,62,97,159,35,8157.495,0.037,-62207.775,5.934,158933217.202,6.369,3835.51,7.324
Eu,63,96,159,33,8176.697,0.027,-66043.285,4.325,158929099.612,4.643,2518.15,4.391
Gd,64,95,159,31,8187.614,0.007,-68561.436,1.192,158926396.267,1.279,970.927,0.759
Tb,65,94,159,29,8188.8,0.008,-69532.363,1.256,158925353.933,1.348,-365.229,1.162
Dy,66,93,159,27,8181.583,0.01,-69167.134,1.528,158925746.023,1.64,-1837.6,2.683
Ho,67,92,159,25,8165.105,0.019,-67329.534,3.088,158927718.768,3.314,-2768.5,2.0
Er,68,91,159,23,8142.773,0.023,-64561.034,3.679,158930690.875,3.949,-3990.637,28.186
Tm,69,90,159,21,8112.754,0.176,-60570.398,27.945,158934975.0,30.0,-4731.792,33.129
Yb,70,89,159,19,8078.074,0.112,-55838.606,17.794,158940054.787,19.102,-6130.002,41.655
Lu,71,88,159,17,8034.6,0.237,-49708.604,37.663,158946635.615,40.433,-6856.004,41.246
Hf,72,87,159,15,7986.56,0.106,-42852.6,16.813,158953995.838,18.049,-8413.452,25.891
Ta,73,86,159,13,7928.725,0.124,-34439.148,19.689,158963028.052,21.137,-9145.0,299.0
