Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
Pd,46,52,98,6,8533.899,0.048,-81320.975,4.742,97912698.337,5.09,-8254.56,33.098
Ag,47,51,98,4,8441.686,0.336,-73066.415,32.907,97921559.972,35.327,-5430.0,40.0
Cd,48,50,98,2,8378.295,0.529,-67636.415,51.797,97927389.317,55.605,-13740.0,303.0
In,49,49,98,0,8230.0,3.0,-53896.0,298.0,97942140.0,320.0,,
Kr,36,63,99,27,8178.0,4.0,-38759.0,401.0,98958390.0,430.0,12362.0,401.0
Rb,37,62,99,25,8295.3,0.041,-51121.143,4.031,98945119.192,4.327,11400.258,6.223
Sr,38,61,99,23,8402.552,0.048,-62521.401,4.741,98932880.511,5.089,8128.424,8.138
Y,39,60,99,21,8476.755,0.067,-70649.825,6.627,98924154.288,7.114,6970.792,12.409
Zr,40,59,99,19,8539.264,0.106,-77620.617,10.502,98916670.835,11.274,4714.724,15.95
Nb,41,58,99,17,8578.985,0.121,-82335.341,12.004,98911609.371,12.886,3634.758,12.006
Mo,42,57,99,15,8607.797,0.002,-85970.098,0.229,98907707.298,0.245,1357.764,0.89
Tc,43,56,99,13,8613.61,0.009,-87327.862,0.908,98906249.678,0.974,297.519,0.946
Ru,44,55,99,11,8608.712,0.003,-87625.381,0.344,98905930.278,0.369,-2044.081,6.69
Rh,45,54,99,9,8580.163,0.068,-85581.3,6.697,98908124.69,7.189,-3398.649,8.008
Pd,46,53,99,7,8537.93,0.05,-82182.651,4.981,98911773.29,5.347,-5470.178,8.004
Ag,47,52,99,5,8474.774,0.063,-76712.473,6.265,98917645.768,6.725,-6781.35,6.462
Cd,48,51,99,3,8398.373,0.016,-69931.123,1.584,98924925.847,1.7,-8555.0,298.0
In,49,50,99,1,8304.0,3.0,-61376.0,298.0,98934110.0,320.0,-13432.0,585.0
Sn,50,49,99,-1,8160.0,5.0,-47944.0,503.0,98948530.0,540.0,,
Kr,36,64,100,28,8140.0,4.0,-35052.0,401.0,99962370.0,430.0,11195.0,401.0
Rb,37,63,100,26,8244.32,0.196,-46247.064,19.561,99950351.731,21.0,13573.838,20.831
Sr,38,62,100,24,8372.234,0.072,-59820.903,7.16,99935779.615,7.686,7506.493,13.273
Y,39,61,100,22,8439.476,0.112,-67327.396,11.186,99927721.063,12.008,9050.041,13.83
Zr,40,60,100,20,8522.153,0.081,-76377.437,8.149,99918005.444,8.748,3419.963,11.398
Nb,41,59,100,18,8548.529,0.08,-79797.399,7.986,99914333.963,8.573,6395.626,7.992
Mo,42,58,100,16,8604.662,0.003,-86193.025,0.302,99907467.976,0.323,-172.08,1.371
Tc,43,57,100,14,8595.118,0.014,-86020.945,1.351,99907652.711,1.45,3206.444,1.376
Ru,44,56,100,12,8619.359,0.003,-89227.389,0.343,99904210.452,0.368,-3636.262,18.123
Rh,45,55,100,10,8575.172,0.181,-85591.126,18.125,99908114.141,19.458,-378.348,25.289
Pd,46,54,100,8,8563.566,0.176,-85212.778,17.638,99908520.315,18.935,-7074.819,18.333
Ag,47,53,100,6,8484.994,0.05,-78137.959,5.0,99916115.445,5.367,-3943.363,5.273
Cd,48,52,100,4,8437.737,0.017,-74194.596,1.677,99920348.82,1.799,-9881.624,182.517
In,49,51,100,2,8331.097,1.825,-64312.972,182.519,99930957.18,195.942,-7030.0,240.0
Sn,50,50,100,0,8252.974,3.015,-57282.972,301.518,99938504.196,323.693,,
Kr,36,65,101,29,8081.0,5.0,-29128.0,503.0,100968730.0,540.0,13717.0,541.0
Rb,37,64,101,27,8209.0,2.0,-42845.0,200.0,100954004.0,215.0,12480.0,200.0
Sr,38,63,101,25,8324.74,0.084,-55324.907,8.48,100940606.266,9.103,9736.095,11.055
Y,39,62,101,23,8413.391,0.07,-65061.002,7.092,100930154.138,7.614,8104.955,10.933
Zr,40,61,101,21,8485.892,0.083,-73165.957,8.339,100921453.11,8.951,5725.534,9.143
Nb,41,60,101,19,8534.835,0.037,-78891.491,3.749,100915306.496,4.024,4628.458,3.738
Mo,42,59,101,17,8572.915,0.003,-83519.949,0.309,100910337.641,0.331,2824.645,24.002
Tc,43,58,101,15,8593.136,0.238,-86344.594,24.004,100907305.26,25.768,1613.52,24.0
Ru,44,57,101,13,8601.365,0.004,-87958.114,0.415,100905573.075,0.445,-545.697,5.852
Rh,45,56,101,11,8588.216,0.058,-87412.416,5.841,100906158.905,6.27,-1980.284,3.903
Pd,46,55,101,9,8560.864,0.045,-85432.132,4.588,100908284.828,4.925,-4097.759,6.668
Ag,47,54,101,7,8512.546,0.048,-81334.374,4.838,100912683.953,5.193,-5497.918,5.063
Cd,48,53,101,5,8450.365,0.015,-75836.456,1.49,100918586.211,1.6,-7223.0,196.0
In,49,52,101,3,8371.0,2.0,-68614.0,196.0,100926340.0,210.0,-8308.0,358.0
Sn,50,51,101,1,8281.102,2.97,-60305.626,300.005,100935259.244,322.068,,
Rb,37,65,102,28,8157.0,3.0,-37707.0,298.0,101959520.0,320.0,14452.0,306.0
Sr,38,64,102,26,8291.22,0.658,-52159.304,67.068,101944004.68,72.0,9013.873,67.191
Y,39,63,102,24,8371.922,0.04,-61173.177,4.077,101934327.889,4.377,10414.53,9.669
Zr,40,62,102,22,8466.355,0.086,-71587.707,8.767,101923147.431,9.412,4716.837,9.053
Nb,41,61,102,20,8504.928,0.025,-76304.544,2.545,101918083.697,2.732,7261.517,8.675
Mo,42,60,102,18,8568.45,0.081,-83566.061,8.312,101910288.138,8.923,1006.817,12.373
Tc,43,59,102,16,8570.65,0.09,-84572.878,9.166,101909207.275,9.84,4533.558,9.165
Ru,44,58,102,14,8607.427,0.004,-89106.437,0.418,101904340.3,0.448,-2323.119,6.396
Rh,45,57,102,12,8576.981,0.063,-86783.318,6.41,101906834.27,6.881,1119.853,6.406
Pd,46,56,102,10,8580.29,0.005,-87903.171,0.554,101905632.058,0.594,-5656.48,8.19
Ag,47,55,102,8,8517.164,0.08,-82246.691,8.171,101911704.54,8.771,-2587.0,8.0
Cd,48,54,102,6,8484.131,0.016,-79659.691,1.662,101914481.799,1.784,-8964.807,4.865
In,49,53,102,4,8388.571,0.045,-70694.884,4.573,101924105.916,4.909,-5760.0,100.0
Sn,50,52,102,2,8324.43,0.981,-64934.884,100.105,101930289.53,107.466,,
Rb,37,66,103,29,8117.0,4.0,-33608.0,401.0,102963920.0,430.0,13814.0,446.0
Sr,38,65,103,27,8243.0,2.0,-47422.0,196.0,102949090.0,210.0,11035.0,196.0
Y,39,64,103,25,8342.638,0.109,-58457.575,11.204,102937243.208,12.028,9357.759,14.518
Zr,40,63,103,23,8425.895,0.09,-67815.334,9.232,102927197.24,9.911,7213.337,10.036
Nb,41,62,103,21,8488.331,0.038,-75028.671,3.935,102919453.403,4.224,5931.999,10.036
Mo,42,61,103,19,8538.328,0.09,-80960.67,9.232,102913085.14,9.911,3643.197,13.471
Tc,43,60,103,17,8566.103,0.095,-84603.867,9.81,102909174.008,10.531,2663.304,9.808
Ru,44,59,103,15,8584.365,0.004,-87267.171,0.443,102906314.833,0.475,764.538,2.26
Rh,45,58,103,13,8584.192,0.022,-88031.708,2.301,102905494.068,2.47,-574.519,2.42
Pd,46,57,103,11,8571.019,0.009,-87457.189,0.95,102906110.84,1.019,-2654.498,4.207
Ag,47,56,103,9,8537.651,0.04,-84802.692,4.099,102908960.56,4.4,-4151.075,4.481
Cd,48,55,103,7,8489.754,0.018,-80651.616,1.811,102913416.923,1.943,-6019.026,9.754
In,49,54,103,5,8423.721,0.093,-74632.591,9.625,102919878.613,10.332,-7660.0,70.0
Sn,50,53,103,3,8341.757,0.686,-66972.591,70.659,102928101.962,75.855,-10794.0,306.0
Sb,51,52,103,1,8229.0,3.0,-56178.0,298.0,102939690.0,320.0,,
Sr,38,66,104,28,8210.0,3.0,-44106.0,298.0,103952650.0,320.0,9958.0,499.0
Y,39,65,104,26,8298.0,4.0,-54064.0,401.0,103941960.0,430.0,11660.0,401.0
Zr,40,64,104,24,8402.377,0.09,-65724.06,9.325,103929442.315,10.011,6094.952,9.699
Nb,41,63,104,22,8453.459,0.026,-71819.012,2.737,103922899.115,2.938,8530.957,9.311
